dev_eui,building_uuid
24e124785f153567,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e465754,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031425,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e466751,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124799e242702,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124136f113191,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f030589,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124707e422476,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124707e422687,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e466687,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e465601,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031653,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124136f112060,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124707e423275,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e468814,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031466,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e467689,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e465673,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031472,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031093,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e465762,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031369,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124707e422726,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124707e422749,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716f015359,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e466741,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031827,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e460019,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124785f154320,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124785f154657,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124785f151395,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e465766,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124716e466749,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124141f031618,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124707e422556,d9772a92-5ac4-4ec6-b5be-ab13f6a2f2dc
24e124707e423879,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124136f112071,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
