SITEUUID,DEVICEUUID,STAMP,DEVICE_TYPE,DEVICE_ID,DATA,DATECREATED,SERVER_SOURCE
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T02:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1301983990837, ""minimum_milliampere"": 1304.9639, ""average_milliampere"": 1408.16857416667, ""maximum_milliampere"": 1509.7413, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T01:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.0, ""accumulated_nanoampere_hour"": 1300571563805, ""minimum_milliampere"": 1355.0027, ""average_milliampere"": 1423.81765166667, ""maximum_milliampere"": 1532.8191, ""supply_voltage"": 5, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T00:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.0, ""accumulated_nanoampere_hour"": 1299143601916, ""minimum_milliampere"": 1317.0292, ""average_milliampere"": 1433.06751965278, ""maximum_milliampere"": 1536.8411, ""supply_voltage"": 5, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T23:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -56.0, ""accumulated_nanoampere_hour"": 1297707720388, ""minimum_milliampere"": 1361.8188, ""average_milliampere"": 1440.22893291667, ""maximum_milliampere"": 1540.9777, ""supply_voltage"": 5, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T22:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.5, ""accumulated_nanoampere_hour"": 1296251728354, ""minimum_milliampere"": 1343.2782, ""average_milliampere"": 1431.61411965278, ""maximum_milliampere"": 1547.9719, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T21:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1294836759228, ""minimum_milliampere"": 1329.2755, ""average_milliampere"": 1433.69186708333, ""maximum_milliampere"": 1532.6935, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T20:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.5, ""accumulated_nanoampere_hour"": 1293406262225, ""minimum_milliampere"": 1354.5754, ""average_milliampere"": 1427.08037145833, ""maximum_milliampere"": 1530.3002, ""supply_voltage"": 5, ""temperature_celsius"": 22}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T19:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.0, ""accumulated_nanoampere_hour"": 1291983467666, ""minimum_milliampere"": 1342.2726, ""average_milliampere"": 1411.48632986111, ""maximum_milliampere"": 1526.3875, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T18:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.0, ""accumulated_nanoampere_hour"": 1290564477236, ""minimum_milliampere"": 1333.0432, ""average_milliampere"": 1438.77575041667, ""maximum_milliampere"": 1592.3226, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T17:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.0, ""accumulated_nanoampere_hour"": 1289118261196, ""minimum_milliampere"": 1406.4166, ""average_milliampere"": 1494.32472708333, ""maximum_milliampere"": 1607.6343, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T16:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.0, ""accumulated_nanoampere_hour"": 1287572905495, ""minimum_milliampere"": 1309.3907, ""average_milliampere"": 1421.64817909722, ""maximum_milliampere"": 1590.5043, ""supply_voltage"": 4, ""temperature_celsius"": 22.5}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T15:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.0, ""accumulated_nanoampere_hour"": 1286197639530, ""minimum_milliampere"": 1312.9218, ""average_milliampere"": 1400.66214506944, ""maximum_milliampere"": 1506.6718, ""supply_voltage"": 4, ""temperature_celsius"": 22}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T14:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -56.0, ""accumulated_nanoampere_hour"": 1284803412182, ""minimum_milliampere"": 1369.869, ""average_milliampere"": 1473.42593506944, ""maximum_milliampere"": 1579.6733, ""supply_voltage"": 5, ""temperature_celsius"": 22}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T13:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -56.5, ""accumulated_nanoampere_hour"": 1283345028992, ""minimum_milliampere"": 1374.7887, ""average_milliampere"": 1442.24536625, ""maximum_milliampere"": 1567.6604, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T12:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1281894742448, ""minimum_milliampere"": 1323.3124, ""average_milliampere"": 1450.24159125, ""maximum_milliampere"": 1585.4023, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T11:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.0, ""accumulated_nanoampere_hour"": 1280443912549, ""minimum_milliampere"": 1303.3367, ""average_milliampere"": 1396.114364375, ""maximum_milliampere"": 1507.9513, ""supply_voltage"": 5, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T10:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1279060029018, ""minimum_milliampere"": 1301.5593, ""average_milliampere"": 1389.98529208333, ""maximum_milliampere"": 1485.5261, ""supply_voltage"": 5, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T09:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1277675255707, ""minimum_milliampere"": 1299.3344, ""average_milliampere"": 1389.15500208333, ""maximum_milliampere"": 1479.5408, ""supply_voltage"": 5, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T08:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.0, ""accumulated_nanoampere_hour"": 1276294970026, ""minimum_milliampere"": 1281.2448, ""average_milliampere"": 1354.49114861111, ""maximum_milliampere"": 1483.5771, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T07:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.0, ""accumulated_nanoampere_hour"": 1274929747539, ""minimum_milliampere"": 1281.5457, ""average_milliampere"": 1369.47335097222, ""maximum_milliampere"": 1500.385, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T06:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.0, ""accumulated_nanoampere_hour"": 1273556503218, ""minimum_milliampere"": 1290.9939, ""average_milliampere"": 1399.57046472222, ""maximum_milliampere"": 1497.8114, ""supply_voltage"": 5, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T05:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -60.0, ""accumulated_nanoampere_hour"": 1272164033777, ""minimum_milliampere"": 1310.1272, ""average_milliampere"": 1387.00975145833, ""maximum_milliampere"": 1493.168, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T04:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -61.5, ""accumulated_nanoampere_hour"": 1270778702155, ""minimum_milliampere"": 1316.15, ""average_milliampere"": 1440.06634222222, ""maximum_milliampere"": 1558.1569, ""supply_voltage"": 4, ""temperature_celsius"": 23.5}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T03:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.0, ""accumulated_nanoampere_hour"": 1269333957056, ""minimum_milliampere"": 1347.8657, ""average_milliampere"": 1449.98003666667, ""maximum_milliampere"": 1568.3986, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T02:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1267882175087, ""minimum_milliampere"": 1385.4116, ""average_milliampere"": 1473.89676722222, ""maximum_milliampere"": 1581.2603, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
